SUID,univid,response
323,5c9e7d8334cda4f3677e6b4f,Soft skills and digital literacy
323,5c9e470b34cda4f3677e2ec5,Soft skills and digital literacy
323,5c9e4e1334cda4f3677e3a3f,Internationality
323,5c9e349434cda4f3677e109f,Practical relevance / professionalization
323,5c9e4b9334cda4f3677e3635,Specialization
323,5c9e67db34cda4f3677e56e9,Specialization
323,5c9e410934cda4f3677e24f1,Specialization
323,5c9e409034cda4f3677e242b,Internationality
323,5c9e67de34cda4f3677e56ed,Practical relevance / professionalization
323,5c9e8d5d34cda4f3677e75f1,Practical relevance / professionalization
323,5c9e3d8a34cda4f3677e1f43,Practical relevance / professionalization
323,5c9e4dae34cda4f3677e3997,Internationality
1043,5c9e7e9e34cda4f3677e6d17,Soft skills and digital literacy
1043,5c9e644f34cda4f3677e519d,Soft skills and digital literacy
1043,5c9e66b034cda4f3677e54f5,Soft skills and digital literacy
1043,5c9e8e7c34cda4f3677e77c5,Soft skills and digital literacy
1043,5c9e5b2734cda4f3677e42a1,Soft skills and digital literacy
1043,5c9e645234cda4f3677e51a3,Internationality
1043,5c9e4e2c34cda4f3677e3a6d,Soft skills and digital literacy
1043,5c9e8c2b34cda4f3677e73fd,Internationality
1043,5c9e87f534cda4f3677e6f03,Specialization
1043,5c9e476434cda4f3677e2f55,Internationality
1043,5c9e678834cda4f3677e565f,Soft skills and digital literacy
1043,5c9e882634cda4f3677e6f51,Internationality
1043,5c9e519734cda4f3677e4003,Soft skills and digital literacy
1043,5c9e8d5d34cda4f3677e75f1,Soft skills and digital literacy
1043,5c9e3e0234cda4f3677e2009,Soft skills and digital literacy
1043,5c9e7db234cda4f3677e6b9b,Specialization
2902,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
2902,5c9e5d6334cda4f3677e464d,Soft skills and digital literacy
2902,5c9e677634cda4f3677e5643,Internationality
2902,5c9e645734cda4f3677e51ab,Soft skills and digital literacy
2902,5c9e6c1634cda4f3677e5dcf,Internationality
2902,5c9e373c34cda4f3677e14ef,Specialization
2902,5c9e4dfa34cda4f3677e3a13,Soft skills and digital literacy
2902,5c9e5a4734cda4f3677e4135,Internationality
2902,5e8c6ef9dc39552aa1e7bdfc,Internationality
2902,5e8c879823d6684db014ea30,Internationality
2902,5c9e496834cda4f3677e32a1,Specialization
1059,5c9e70bd34cda4f3677e621f,Internationality
1059,5c9e5b5e34cda4f3677e42fb,Soft skills and digital literacy
1059,5c9e7d6634cda4f3677e6b23,Specialization
1059,5c9e7d5334cda4f3677e6b03,Soft skills and digital literacy
1059,5c9e677634cda4f3677e5643,Soft skills and digital literacy
1059,5c9e645734cda4f3677e51ab,Internationality
1059,5c9e6c1634cda4f3677e5dcf,Soft skills and digital literacy
1059,5c9e5c6f34cda4f3677e44bd,Internationality
1059,5c9e498a34cda4f3677e32d9,Soft skills and digital literacy
1059,5c9e498a34cda4f3677e32d9,Soft skills and digital literacy
1059,5c9e5a4734cda4f3677e4135,Soft skills and digital literacy
1799,5c9e3bc934cda4f3677e1c63,Soft skills and digital literacy
1799,5c9e5b5e34cda4f3677e42fb,Internationality
1799,5c9e7d4d34cda4f3677e6af9,Specialization
1799,5c9e677634cda4f3677e5643,Specialization
1799,5c9e498834cda4f3677e32d7,Practical relevance / professionalization
1799,5c9e3aee34cda4f3677e1afd,Specialization
1799,5c9e61ba34cda4f3677e4d6d,Internationality
1799,5c9e60b434cda4f3677e4bbd,Specialization
854,5c9e4dfb34cda4f3677e3a15,Internationality
854,5c9e7d5334cda4f3677e6b03,Specialization
854,5c9e645734cda4f3677e51ab,Specialization
854,5c9e7d8334cda4f3677e6b4f,Specialization
854,5c9e498134cda4f3677e32c9,Practical relevance / professionalization
854,5c9e67c234cda4f3677e56bf,Practical relevance / professionalization
854,5c9e7eb934cda4f3677e6d45,Practical relevance / professionalization
854,5c9e70cf34cda4f3677e623d,Specialization
702,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
702,5c9e677634cda4f3677e5643,Soft skills and digital literacy
702,5c9e3ceb34cda4f3677e1e3d,Soft skills and digital literacy
702,5c9e3aec34cda4f3677e1af9,Soft skills and digital literacy
702,5c9e3ad634cda4f3677e1ad7,Soft skills and digital literacy
702,5c9e39f434cda4f3677e1963,Soft skills and digital literacy
702,5c9e371334cda4f3677e14a9,Soft skills and digital literacy
702,5c9e4b8634cda4f3677e3621,Internationality
702,5c9e42ad34cda4f3677e279b,Soft skills and digital literacy
702,5c9e7da234cda4f3677e6b81,Soft skills and digital literacy
702,5c9e4d8b34cda4f3677e395b,Soft skills and digital literacy
702,5c9e8d6834cda4f3677e7605,Soft skills and digital literacy
2695,5c9e5b5e34cda4f3677e42fb,Internationality
